replacement,quant_type,quant_name,weight_bw,act_bw,clean,Δclean,brightness,Δbrightness,contrast,Δcontrast,defocus_blur,Δdefocus_blur,elastic_transform,Δelastic_transform,fog,Δfog,frost,Δfrost,gaussian_blur,Δgaussian_blur,gaussian_noise,Δgaussian_noise,glass_blur,Δglass_blur,impulse_noise,Δimpulse_noise,jpeg_compression,Δjpeg_compression,motion_blur,Δmotion_blur,pixelate,Δpixelate,saturate,Δsaturate,shot_noise,Δshot_noise,snow,Δsnow,spatter,Δspatter,speckle_noise,Δspeckle_noise,zoom_blur,Δzoom_blur
original,FP32,FP32,32,32,0.7828333333333334,0.0,0.83104,0.0,0.54172,0.0,0.76124,0.0,0.72,0.0,0.71914,0.0,0.64516,0.0,0.70664,0.0,0.3817,0.0,0.51804,0.0,0.51728,0.0,0.79788,0.0,0.64514,0.0,0.78724,0.0,0.802,0.0,0.4888,0.0,0.69546,0.0,0.77626,0.0,0.50584,0.0,0.69382,0.0
original,PTQ,PTQ_FP8_E4M3,8,8,0.76225,-0.020583333333333398,0.7969,-0.03413999999999995,0.50496,-0.036760000000000015,0.7348,-0.02644000000000002,0.68934,-0.03066000000000002,0.67036,-0.048780000000000046,0.5992,-0.04596,0.68526,-0.021380000000000066,0.35518,-0.026519999999999988,0.48066,-0.03737999999999997,0.48468,-0.03259999999999996,0.76282,-0.03505999999999998,0.61506,-0.030079999999999996,0.76162,-0.025620000000000087,0.77022,-0.03178000000000003,0.45004,-0.03876000000000002,0.66046,-0.03499999999999992,0.74216,-0.03409999999999991,0.46492,-0.040919999999999956,0.67026,-0.023560000000000025
original,PTQ,PTQ_FP8_E5M2,8,8,0.709,-0.07383333333333342,0.6901,-0.14093999999999995,0.41292,-0.12879999999999997,0.67582,-0.08542000000000005,0.61704,-0.10295999999999994,0.55392,-0.16522000000000003,0.46392,-0.18123999999999996,0.6295,-0.0771400000000001,0.26718,-0.11452000000000001,0.37794,-0.14009999999999995,0.40098,-0.11629999999999996,0.66934,-0.12854,0.5583,-0.08684000000000003,0.71018,-0.07706000000000002,0.69424,-0.10776000000000008,0.34464,-0.14416,0.5445,-0.15095999999999998,0.64536,-0.1308999999999999,0.35772,-0.14811999999999997,0.61004,-0.08377999999999997
original,PTQ,PTQ_FP4_E2M1,4,4,0.14316666666666666,-0.6396666666666667,0.13282,-0.6982200000000001,0.12188,-0.41984,0.13226,-0.6289800000000001,0.12998,-0.59002,0.12236,-0.59678,0.11616,-0.5289999999999999,0.13022,-0.57642,0.13534,-0.24636,0.13292,-0.3851199999999999,0.14026,-0.37701999999999997,0.1392,-0.65868,0.12648,-0.51866,0.13636,-0.65088,0.13748,-0.66452,0.13452,-0.35428000000000004,0.13016,-0.5652999999999999,0.14102,-0.6352399999999999,0.1355,-0.37033999999999995,0.1306,-0.56322
original,GPTQ,GPTQ_FP8_E4M3,8,8,0.765,-0.017833333333333368,0.8033,-0.027739999999999987,0.51402,-0.027699999999999947,0.7417,-0.019540000000000002,0.69936,-0.02063999999999999,0.68096,-0.03817999999999999,0.60346,-0.04169999999999996,0.69418,-0.012460000000000027,0.37204,-0.009660000000000002,0.49292,-0.02511999999999992,0.50138,-0.015899999999999914,0.76954,-0.028340000000000032,0.6265,-0.0186400000000001,0.76268,-0.024560000000000026,0.77608,-0.025920000000000054,0.46898,-0.019820000000000004,0.66386,-0.03159999999999996,0.74966,-0.026599999999999957,0.48406,-0.021779999999999966,0.68174,-0.01207999999999998
original,GPTQ,GPTQ_FP8_E5M2,8,8,0.7253333333333334,-0.057499999999999996,0.71892,-0.11212,0.43778,-0.10393999999999998,0.68964,-0.0716,0.63626,-0.08373999999999993,0.58844,-0.13070000000000004,0.5047,-0.14045999999999992,0.64546,-0.06118000000000001,0.29772,-0.08398,0.4068,-0.11123999999999995,0.42552,-0.09175999999999995,0.69676,-0.10111999999999999,0.57878,-0.06636000000000009,0.72616,-0.06108000000000002,0.71244,-0.08956000000000008,0.38072,-0.10808000000000001,0.58016,-0.11529999999999996,0.67696,-0.09929999999999994,0.394,-0.11183999999999994,0.62848,-0.06533999999999995
original,GPTQ,GPTQ_FP4_E2M1,4,4,0.129,-0.6538333333333334,0.12766,-0.70338,0.11492,-0.42679999999999996,0.11982,-0.64142,0.11966,-0.60034,0.11584,-0.6033,0.1127,-0.5324599999999999,0.11766,-0.5889800000000001,0.12354,-0.25816,0.12074,-0.39729999999999993,0.12888,-0.38839999999999997,0.12454,-0.67334,0.11654,-0.5286000000000001,0.12624,-0.661,0.12758,-0.67442,0.12514,-0.36366,0.12272,-0.57274,0.12962,-0.6466399999999999,0.12456,-0.38127999999999995,0.11878,-0.57504
hardsigmoid_to_sigmoid,FP32,FP32,32,32,0.7825,0.0,0.81684,0.0,0.59702,0.0,0.7604,0.0,0.7248,0.0,0.74162,0.0,0.6619,0.0,0.70644,0.0,0.40334,0.0,0.51892,0.0,0.50608,0.0,0.79046,0.0,0.6666,0.0,0.7532,0.0,0.80002,0.0,0.50518,0.0,0.68402,0.0,0.768,0.0,0.52166,0.0,0.68488,0.0
hardsigmoid_to_sigmoid,PTQ,PTQ_FP8_E4M3,8,8,0.769,-0.013499999999999956,0.79752,-0.019320000000000004,0.5649,-0.03212000000000004,0.74554,-0.014859999999999984,0.70646,-0.018340000000000023,0.6938,-0.047819999999999974,0.62558,-0.03632000000000002,0.68934,-0.017100000000000004,0.36776,-0.03558,0.46152,-0.05740000000000006,0.48942,-0.016659999999999953,0.76438,-0.026080000000000103,0.64724,-0.019359999999999933,0.7372,-0.016000000000000014,0.78536,-0.014660000000000006,0.45672,-0.04845999999999995,0.6468,-0.03721999999999992,0.73652,-0.031480000000000063,0.4738,-0.047860000000000014,0.67206,-0.012820000000000054
hardsigmoid_to_sigmoid,PTQ,PTQ_FP8_E5M2,8,8,0.7016666666666667,-0.08083333333333331,0.71348,-0.10336000000000001,0.48774,-0.10927999999999999,0.66018,-0.10021999999999998,0.62166,-0.10314000000000001,0.57702,-0.16459999999999997,0.5421,-0.11980000000000002,0.61378,-0.09265999999999996,0.29932,-0.10402,0.40172,-0.11720000000000003,0.421,-0.08507999999999999,0.66554,-0.12492000000000003,0.57552,-0.09107999999999994,0.65848,-0.09472000000000003,0.69492,-0.10509999999999997,0.36884,-0.13633999999999996,0.55556,-0.1284599999999999,0.63894,-0.12906000000000006,0.3787,-0.14296000000000003,0.60088,-0.08400000000000007
