corruption,AUC_Delta_neff,Slope_Delta_neff,DeltaAccuracy_PTQ_FP8_E4M3,DeltaAccuracy_GPTQ_FP8_E4M3,Delta_trace,Delta_largest_eig,Delta_head10,Delta_tail,Delta_pr,Delta_spectral_entropy,Delta_kappa,Delta_neff,Delta_alpha
brightness,-21.799099138710176,-0.9209002363071086,-0.019320000000000004,-0.019140000000000046,-13182.514,-2147.0254,-0.11160052,0.11160037,12.993897631551306,0.28686762,-2161.8616,-8.684021,-0.22067977649915393
clean,-39.532535327049914,-1.6804567696060957,-0.013499999999999956,-0.01691666666666669,-6640.826,-1791.98,-0.15416738,0.15416738,16.1875494236538,0.50396204,-1487.6172,-15.722763,-0.2777635756595389
contrast,-13.601445329594753,-0.7982009928281713,-0.03212000000000004,-0.029039999999999955,-13644.826,-4075.4553,-0.10146588,0.10146588,12.04635977786662,0.37889004,-1955.7295,-6.193207,-0.1733187124128508
defocus_blur,1.9029752597320453,-1.0482378344765522,-0.014859999999999984,-0.019459999999999922,-12236.642,-3435.161,-0.10814521,0.10814533,15.00960645812445,0.40445685,-1902.0378,-3.1934738,-0.16174936819182917
elastic_transform,-21.799886092338284,-0.9243843044821496,-0.018340000000000023,-0.018140000000000045,-21009.77,-5494.5796,-0.16270629,0.16270652,14.710162427438162,0.52397704,-5367.4375,-8.697968,-0.27092512155359216
fog,-25.693756787976383,-0.8533655906772815,-0.047819999999999974,-0.04721999999999993,-13134.4795,-3123.7913,-0.08944225,0.08944231,8.067297242208404,0.2815547,-2369.9304,-9.413879,-0.23757414059603144
frost,-13.538697588739012,-0.7853842452961928,-0.03632000000000002,-0.031299999999999994,-13901.072,-1665.7998,-0.0382801,0.03828004,3.239129090344697,0.09876108,-1243.7151,-6.1419144,-0.16818451699143022
gaussian_noise,-8.732049251359626,-0.3934517320592299,-0.03558,-0.02679999999999999,-18474.809,-3163.9192,-0.03621027,0.03621027,1.7006463567647252,0.0747323,-2253.8127,-3.573967,-0.1384070051315449
glass_blur,-21.133682884904715,-0.5752924678753502,-0.05740000000000006,-0.05190000000000006,-19167.996,-3083.9946,-0.097350955,0.097351015,8.112231353597391,0.23776579,-1295.6102,-7.3014374,-0.19152992920268597
impulse_noise,-21.291779178977094,-0.6606500506331372,-0.016659999999999953,-0.01873999999999998,-23317.906,-2819.4968,-0.038991153,0.038991004,-2.10814929695173,0.019943237,-646.7589,-7.642914,-0.14699982210880091
jpeg_compression,-2.444394713819179,-1.2016000129587638,-0.026080000000000103,-0.0295200000000001,-10145.066,-1608.5442,-0.07159144,0.07159132,4.910507133923108,0.19365788,-531.462,-4.8070297,-0.1354983077468659
motion_blur,-9.63877534760394,-0.8410479754204552,-0.019359999999999933,-0.013799999999999923,-15644.904,-3535.6987,-0.12020916,0.12020907,10.918185726498733,0.39392376,-3272.555,-5.3645935,-0.2178996088916776
pixelate,-17.91322601789409,-0.9626528706715796,-0.016000000000000014,-0.026499999999999968,-15453.659,-2612.727,-0.13839373,0.13839379,15.455772544638108,0.36036515,-1957.7065,-7.851097,-0.25019257588705957
shot_noise,-4.873649154740974,-0.4592230359479359,-0.04845999999999995,-0.03981999999999997,-16065.256,-2355.626,-0.065816075,0.065816015,5.086298751592139,0.14714146,-1241.7494,-2.8370972,-0.15568505367543883
snow,-9.601961070287814,-0.8111293317263879,-0.03721999999999992,-0.0393,-13630.077,-2484.1714,-0.074620456,0.074620426,8.48895070874672,0.22025514,-1571.2396,-5.244911,-0.18446743341579963
zoom_blur,-17.799403274566657,-0.9033636672972065,-0.012820000000000054,-0.01322000000000001,-17505.059,-3561.6238,-0.09466261,0.094662756,10.601478386989168,0.3038001,-2923.4023,-7.613899,-0.18965422776204321
