corruption,AUC_Delta_neff,Slope_Delta_neff,DeltaAccuracy_fp8,Delta_trace,Delta_largest_eig,Delta_head10,Delta_tail,Delta_pr,Delta_spectral_entropy,Delta_kappa,Delta_neff,Delta_alpha
brightness,43.80328827585282,1.7391109910516214,-0.1529799999999999,3035.706,396.60782,-0.08850938,0.08850956,4.993892218104499,0.3099382,289.3639,16.957504,-0.04886671584620883
clean,240.83747327427713,0.1443136494086943,-0.1691666666666667,3144.4966,307.3272,-0.17387801,0.17387784,10.011652138855966,0.7344091,297.33356,60.577675,-0.13401266438521975
contrast,17.772152624083162,0.8700621096175531,-0.29644000000000004,7926.4556,1036.5466,0.005885899,-0.0058856606,-0.03930566307238692,-0.006157398,385.4781,7.4807053,0.054377407691977186
defocus_blur,8.58972069855588,0.2897059993734459,-0.11416000000000004,4086.8145,1145.1536,0.05162084,-0.0516209,-5.07111937309122,-0.20048642,907.71136,3.158966,0.13667390649733968
elastic_transform,13.323100969170639,0.6601303922891191,-0.1439600000000001,5390.2007,820.02216,0.022960126,-0.022960067,-1.7960054727031611,-0.06441474,826.23364,5.6408386,0.08540090002754375
fog,22.281172415413494,1.136233830552122,-0.21906000000000003,7057.8965,1157.0046,0.0037674308,-0.0037674904,-1.3223370118191617,-0.02507019,1239.2787,9.545502,0.0695066786713614
frost,1.7234808883540609,0.8538055952828856,-0.24136000000000002,5714.233,1175.2367,0.018710315,-0.018710196,-4.446776720330618,-0.10221076,1075.8369,3.4156647,0.03045215638465315
gaussian_noise,-0.04932403479347158,0.00575155355117829,0.053080000000000016,2109.125,-377.7932,-0.03953865,0.03953865,6.2827497171643625,0.18766975,1359.0946,0.022972107,0.04012999613729051
glass_blur,-7.362999099585636,0.341692817065411,-0.07598000000000005,7970.791,1795.0062,-0.018547118,0.018547118,-0.5248782437797939,0.0082633495,1732.2368,-0.63308716,0.016468117126346993
impulse_noise,12.048722724524794,0.024500985743724613,0.13388,1734.4102,-562.1006,-0.012883842,0.012883782,5.434885709136141,0.18314242,-363.02307,3.0980148,0.0682156152730371
jpeg_compression,-6.532953718696945,0.7233374820251441,-0.011139999999999928,4830.528,695.55505,0.026879847,-0.026879817,-3.0021292496485046,-0.0843668,445.25677,0.89373016,0.030322264524875076
motion_blur,28.361875751646267,0.15625728675468054,-0.14547999999999994,6161.4487,992.48755,0.08282548,-0.08282563,-5.205817687378161,-0.22952199,179.45038,7.625145,0.20717339547742553
pixelate,20.511534373697486,0.25487513952175433,-0.007280000000000064,5755.7183,796.09937,0.026825488,-0.026825547,-1.0076382601328575,-0.07339096,519.59485,6.019638,0.14369507311197038
shot_noise,4.183201365532,0.11059890835131014,0.022899999999999976,3712.8013,71.79797,0.008583933,-0.008583963,5.963974409609531,0.08926535,624.49963,1.4424438,0.08787884478317043
snow,14.268745230124694,1.0989681417488164,-0.20839999999999992,6001.0444,1095.7673,0.025730073,-0.025730044,-3.4510785452085173,-0.06133628,1065.4067,7.396469,-0.006851382507321535
zoom_blur,28.20836458824874,0.12717861431851318,-0.121,6877.994,1599.1611,0.063719094,-0.063719064,-7.309666867542447,-0.23410368,1713.623,7.5087433,0.23790810661492268
