corruption,AUC_Delta_neff,Slope_Delta_neff,DeltaAccuracy_PTQ_FP8_E4M3,DeltaAccuracy_GPTQ_FP8_E4M3,Delta_trace,Delta_largest_eig,Delta_head10,Delta_tail,Delta_pr,Delta_spectral_entropy,Delta_kappa,Delta_neff,Delta_alpha
brightness,-30.50476990325234,0.7492280948166083,-0.20302,-0.18656,140975.34,36178.17,0.19159788,-0.19159777,-11.571981443471069,-0.6926811,3314.3687,-5.002716,0.2198021205520142
clean,-14.29155857237572,0.8719382601696992,-0.25322,-0.2576,167975.53,44588.24,0.23364854,-0.2336485,-14.778185438898417,-0.81155086,10113.908,-0.5118408,0.33824140440262385
contrast,-15.628855296729284,0.19217711895396405,-0.0146,-0.01426,167751.75,92759.92,0.117091894,-0.11709179,-4.368214221793351,-0.72042084,9466.404,-3.2312012,0.20356337579560302
elastic_transform,-26.70900191394395,0.6530379925309653,-0.21144000000000002,-0.1985,164962.62,45495.793,0.21483082,-0.21483096,-10.816860250562856,-0.7684624,10432.554,-4.387535,0.29763907710546
fog,-19.85910099115779,0.09162429327808397,-0.0086,-0.0091,100119.72,27923.166,0.18947452,-0.18947457,-7.070813202783926,-0.74317336,22368.34,-4.6334915,0.3661065150389655
frost,-19.39727110809315,0.31574524647824376,-0.038759999999999996,-0.043359999999999996,96979.06,37828.113,0.24659419,-0.24659437,-18.426463796701693,-0.956193,11775.384,-3.7368774,0.294559994869944
gaussian_blur,28.180575142505973,0.07672829211547949,0.018619999999999998,0.02266,174355.58,49353.906,0.23343533,-0.23343547,-6.621297346347472,-0.8579078,17719.78,7.3069763,0.4276066302276056
gaussian_noise,-46.85121074072265,0.5711188749593283,-0.044899999999999995,-0.06259999999999999,60292.48,13042.899,0.19630992,-0.19630983,-12.714747965913306,-0.6107044,2553.27,-9.715218,0.262530057334883
imagenet_a,-18.981284942161494,0.5196640138137738,-0.0009333333333333333,-0.0009333333333333333,32440.264,7957.587,0.06287658,-0.06287646,-0.15368984882891112,-0.14958882,460.99133,-2.9210968,0.14072240121833168
impulse_noise,-39.22688560863736,0.4105482727494163,-0.047099999999999996,-0.06517999999999999,58923.05,12122.649,0.20125002,-0.20124999,-13.171714217213601,-0.61940837,7304.338,-8.3576355,0.32614475418009725
jpeg_compression,-26.72813127583288,0.6478627580720691,-0.16726000000000002,-0.15532,122315.86,26972.672,0.21593928,-0.21593943,-13.365024622979782,-0.7308898,8579.299,-4.4082336,0.2981485363603351
pixelate,-42.916591097864114,0.5568595397302829,-0.15558,-0.11378000000000002,107677.97,27478.754,0.18437797,-0.18437797,-10.551043687963164,-0.6673074,6136.2656,-8.772285,0.2410686369783277
saturate,-14.337164860863027,0.834071107318131,-0.21892,-0.20616,166836.81,41944.906,0.21701205,-0.21701194,-12.810715916591729,-0.72862196,6040.993,-0.6633148,0.2985206763245225
shot_noise,-47.010776418193416,0.5085909271808369,-0.044919999999999995,-0.06048,62805.63,13170.133,0.19797093,-0.19797102,-12.255330196548705,-0.6254401,1538.278,-9.965393,0.2780120848608336
snow,-15.229370925946853,0.39588149104081793,-0.03638,-0.041800000000000004,92985.78,33819.836,0.27064028,-0.27064052,-22.297296269279464,-0.9720981,9514.832,-2.4162827,0.3528060784534224
spatter,-46.8398587910292,0.5970114256602983,-0.12884,-0.11906,98229.37,33261.297,0.24783367,-0.24783361,-19.302577191941815,-0.8965192,6678.902,-9.611679,0.27990547791122555
speckle_noise,-42.838461543705534,0.5730253029887393,-0.06984000000000001,-0.08738000000000001,76641.48,17945.531,0.22239754,-0.22239745,-14.168211901032732,-0.70110583,3118.4648,-8.707603,0.3002302974803057
