corruption,ΔAccuracy,Δtrace,Δlargest_eig,Δhead10,Δtail,Δpr,Δspectral_entropy,Δkappa,Δneff,Δalpha
clean,-0.013499999999999956,-8166.785,-1532.0405,-0.09046048,0.09046045,7.753087747438347,0.28972054,-1532.0405,-9.085709,-0.4214617765655173
brightness,-0.019320000000000004,-10297.52,-1677.3353,-0.116445154,0.116445065,13.799661845414285,0.33979964,-1677.3353,-7.088562,-0.42998962348773584
contrast,-0.03212000000000004,-16586.271,-3328.0542,-0.071101904,0.071101874,6.644829430085075,0.29632044,-3328.0542,-3.2418976,-0.4569559027382526
defocus_blur,-0.014859999999999984,-9570.214,-2683.3853,-0.11294383,0.1129438,15.68451025425443,0.45018506,-2683.3853,-4.5726395,-0.4540040311426432
elastic_transform,-0.018340000000000023,-18715.71,-5159.2134,-0.1341179,0.13411787,14.386363729753159,0.5067301,-5159.2134,-5.152588,-0.4942297957146169
fog,-0.047819999999999974,-12563.362,-2017.0117,-0.0392918,0.03929183,-0.7669179973432083,0.09485912,-2017.0117,-6.0554657,-0.4385190855776191
frost,-0.03632000000000002,-13973.598,-1736.3462,-0.039293945,0.039293855,1.7171714848265154,0.12354183,-1736.3462,-4.704254,-0.4736578714393178
gaussian_blur,-0.017100000000000004,-10866.576,-2226.2476,-0.11146122,0.11146134,12.505392361082194,0.37116337,-2226.2476,-5.5530777,-0.4610526139305753
gaussian_noise,-0.03558,-19832.793,-4828.6104,-0.04646477,0.04646483,5.992335277199622,0.19043446,-4828.6104,-2.1424484,-0.48899740107961676
glass_blur,-0.05740000000000006,-17103.28,-2522.387,-0.10779488,0.10779494,9.489279876414546,0.27721286,-2522.387,-4.3355255,-0.4335953123195342
impulse_noise,-0.016659999999999953,-20979.172,-2603.3328,-0.0040680766,0.004068017,-6.527238692041397,-0.097932816,-2603.3328,-3.948677,-0.46427684797499413
jpeg_compression,-0.026080000000000103,-7916.3247,-1256.6584,-0.07816094,0.078161,5.548815315510208,0.25129867,-1256.6584,-5.688347,-0.45014290724807093
motion_blur,-0.019359999999999933,-12164.346,-2756.6494,-0.12299937,0.12299943,11.38975999236833,0.43918514,-2756.6494,-4.950897,-0.47836333135607134
pixelate,-0.016000000000000014,-12046.984,-2039.5354,-0.14505592,0.14505595,16.518798235625457,0.42555475,-2039.5354,-6.59729,-0.5216779662436546
saturate,-0.014660000000000006,-12337.09,-4115.5884,-0.14181593,0.14181593,20.396739774536,0.5925987,-4115.5884,-5.0938416,-0.4830724585668742
shot_noise,-0.04845999999999995,-15361.569,-2046.7427,-0.014439434,0.014439404,-2.197487729060743,0.037482977,-2046.7427,-1.8578415,-0.49653473510221224
snow,-0.03721999999999992,-17613.336,-4316.5894,-0.1774888,0.17748892,15.299657891227701,0.6185036,-4316.5894,-4.6788177,-0.5256293309083193
spatter,-0.031480000000000063,-11853.148,-3553.337,-0.14647576,0.14647585,19.521486646887418,0.5695474,-3553.337,-6.3431854,-0.4970651779240063
speckle_noise,-0.047860000000000014,-15673.262,-2349.3906,-0.05316022,0.05316022,5.116600494184688,0.16717243,-2349.3906,-1.8428345,-0.5294330789779358
zoom_blur,-0.012820000000000054,-15425.219,-2514.4092,-0.003154695,0.0031546056,-0.9852849462452884,0.022947073,-2514.4092,-5.0206375,-0.37811833122625504
